date,project
19.07,rails
19.07,js
19.07,js
19.07,
20.07,rails
20.07,
21.07,
22.07,rails
22.07,rails
22.07,rails
22.07,js
22.07,
23.07,
24.07,
25.07,
26.07,
27.07,rails
27.07,
28.07,rails
28.07,
29.07,rails
29.07,rails
29.07,
30.07,
31.07,
01.08,rails
01.08,rails
01.08,
02.08,rails
02.08,rails
02.08,rails
02.08,rails
02.08,rails
02.08,rails
02.08,rails
02.08,rails
02.08,rails
02.08,js
02.08,js
02.08,
03.08,rails
03.08,rails
03.08,rails
03.08,rails
03.08,rails
03.08,rails
03.08,js
03.08,
04.08,rails
04.08,rails
04.08,rails
04.08,rails
04.08,rails
04.08,rails
04.08,rails
04.08,rails
04.08,rails
04.08,rails
04.08,js
04.08,js
04.08,
05.08,rails
05.08,rails
05.08,rails
05.08,rails
05.08,rails
05.08,rails
05.08,rails
05.08,
06.08,
07.08,
08.08,rails
08.08,rails
08.08,rails
08.08,rails
08.08,rails
08.08,rails
08.08,
09.08,rails
09.08,rails
09.08,rails
09.08,rails
09.08,rails
09.08,rails
09.08,rails
09.08,rails
09.08,rails
09.08,rails
09.08,rails
09.08,
10.08,rails
10.08,rails
10.08,rails
10.08,rails
10.08,rails
10.08,rails
10.08,rails
10.08,rails
10.08,rails
10.08,rails
10.08,rails
10.08,rails
10.08,rails
10.08,rails
10.08,rails
10.08,
11.08,rails
11.08,rails
11.08,rails
11.08,rails
11.08,rails
11.08,rails
11.08,js
11.08,js
11.08,js
11.08,js
11.08,js
11.08,
12.08,
13.08,
14.08,
15.08,
16.08,
17.08,
18.08,
19.08,
20.08,
21.08,
22.08,rails
22.08,rails
22.08,rails
22.08,rails
22.08,js
22.08,js
22.08,js
22.08,js
22.08,
23.08,rails
23.08,rails
23.08,
24.08,rails
24.08,rails
24.08,rails
24.08,rails
24.08,rails
24.08,
25.08,rails
25.08,rails
25.08,js
25.08,js
25.08,js
25.08,js
25.08,js
25.08,
26.08,rails
26.08,rails
26.08,rails
26.08,
27.08,
28.08,
29.08,rails
29.08,rails
29.08,rails
29.08,rails
29.08,rails
29.08,rails
29.08,rails
29.08,
30.08,rails
30.08,
31.08,rails
31.08,
01.09,rails
01.09,rails
01.09,rails
01.09,rails
01.09,
02.09,rails
02.09,rails
02.09,rails
02.09,
03.09,
04.09,
05.09,rails
05.09,rails
05.09,js
05.09,
06.09,rails
06.09,rails
06.09,rails
06.09,rails
06.09,rails
06.09,rails
06.09,rails
06.09,rails
06.09,
07.09,rails
07.09,rails
07.09,rails
07.09,rails
07.09,rails
07.09,rails
07.09,rails
07.09,rails
07.09,rails
07.09,
08.09,rails
08.09,
09.09,rails
09.09,rails
09.09,
10.09,
11.09,
12.09,rails
12.09,
13.09,rails
13.09,rails
13.09,rails
13.09,rails
13.09,rails
13.09,rails
13.09,rails
13.09,
14.09,
15.09,rails
15.09,
16.09,rails
16.09,rails
16.09,rails
16.09,rails
16.09,
17.09,
18.09,
19.09,rails
19.09,
20.09,rails
20.09,rails
20.09,rails
20.09,rails
20.09,rails
20.09,rails
20.09,
21.09,
22.09,rails
22.09,rails
22.09,rails
22.09,rails
22.09,rails
22.09,js
22.09,
23.09,
24.09,
25.09,
26.09,
27.09,rails
27.09,
28.09,
29.09,
30.09,
01.10,
02.10,
03.10,rails
03.10,rails
03.10,rails
03.10,rails
03.10,rails
03.10,rails
03.10,rails
03.10,rails
03.10,
04.10,rails
04.10,rails
04.10,rails
04.10,rails
04.10,rails
04.10,rails
04.10,rails
04.10,rails
04.10,
05.10,rails
05.10,rails
05.10,rails
05.10,
06.10,js
06.10,
07.10,
08.10,
09.10,
10.10,js
10.10,
11.10,js
11.10,
12.10,
13.10,
14.10,
15.10,
16.10,rails
16.10,
17.10,rails
17.10,rails
17.10,rails
17.10,rails
17.10,
18.10,rails
18.10,rails
18.10,rails
18.10,
19.10,
20.10,
21.10,
22.10,
23.10,
24.10,rails
24.10,rails
24.10,rails
24.10,
25.10,
26.10,
27.10,
28.10,
29.10,
30.10,
31.10,
01.11,
02.11,
03.11,
04.11,
05.11,
06.11,
07.11,
08.11,
09.11,rails
09.11,
10.11,
11.11,
12.11,
13.11,
14.11,
15.11,
16.11,
17.11,
18.11,
19.11,
20.11,
21.11,
22.11,
23.11,js
23.11,
24.11,
25.11,
26.11,
27.11,
28.11,
29.11,
30.11,rails
30.11,rails
30.11,rails
30.11,rails
30.11,
01.12,js
01.12,
02.12,
03.12,
04.12,
05.12,
06.12,
07.12,
08.12,
09.12,
10.12,
11.12,
12.12,js
12.12,
13.12,js
13.12,
14.12,
15.12,rails
15.12,
16.12,rails
16.12,
17.12,
18.12,
19.12,
20.12,
21.12,
22.12,
23.12,
24.12,
25.12,
